GeneName	YFR-1	YFR-2	YFR-3	YFR-4	YFR-5	YFR-6
A1BG	8.023727949	7.743835355	8.065400408	8.002750008	7.692653289	7.507644545
A1BG-AS1	3.888765837	3.915868466	3.890196231	4.21499998	4.164389003	4.240091351
A1CF	2.012271195	1.91723028	2.004118793	1.876894935	1.894273356	2.012168695
A2M	0.367412416	0.400000925	0.362493601	0.397569117	0.39187385	0.407676889
A2M-AS1	2.688854741	2.478498131	2.609546805	2.764178805	2.702490786	2.724217424
A2ML1	7.865601006	7.818958626	7.810546901	6.912164513	6.843541089	6.848734853
A2MP1	-1.97019103	-1.971748815	-1.972327491	-1.955909602	-1.973458166	-1.970196562
A3GALT2	-1.970117917	-1.956476418	-1.972089249	-1.972019199	-1.958053651	-1.970123022
A4GALT	8.915196446	8.640641087	8.797044869	8.376770314	8.312136025	8.353819439
A4GNT	-1.494309336	-1.496840758	-1.497781114	-1.47110183	-1.446506641	-1.467762409
AA06	0	0	0	0	0	0
AAAS	11.44755556	11.3700174	11.41366434	11.22821581	11.15989074	11.19553484
AACS	11.335978	11.20829769	11.28051162	11.65362562	11.60509431	11.58140691
AACSP1	3.801844469	3.589023949	3.756680618	3.447122558	3.704100664	3.711378543
AADAC	-2.209451643	-2.210353462	-2.210688464	-2.210644515	-2.211343025	-2.209454846
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0
AADACL3	7.554360023	7.409385863	7.741018048	6.804066667	6.386749499	6.831869994
AADACL4	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0
AADAT	8.015639338	7.881898624	8.100190306	9.771570682	9.836257281	9.837792823
AAED1	7.201213864	7.240891193	7.379458427	7.730358727	7.789626004	7.662116054
AAGAB	10.92090221	11.08182298	10.89264136	11.10263978	11.24261658	11.27349057
AAK1	9.77518307	9.930682252	9.816650732	10.10552169	10.17453136	10.14771265
AAMDC	8.090950955	7.922247499	7.89616078	7.988778954	7.947334598	7.946163414
AAMP	12.74172716	12.65823561	12.68698815	12.33979229	12.25783118	12.28618454
AANAT	2.502635571	2.498599313	2.424275724	2.425788014	2.458294558	2.317916081
AAR2	11.24236729	11.24653223	11.22469878	11.06062096	11.04215091	11.02218836
AARD	5.684849178	5.537518952	5.72997294	5.247996043	5.441455071	5.590964739
AARS	14.06969737	14.11078094	14.10831965	13.91101876	13.88630087	13.90831068
AARS2	11.0767229	11.06167947	11.11983368	11.08859408	11.02975123	11.02882293
AARSD1	-1.731702157	-1.733663865	-1.734392588	-1.693138323	-1.735816439	-1.731709124
AASDH	8.756726091	8.827467278	8.852906305	8.280486318	8.464436647	8.378603524
AASDHPPT	10.06964488	10.27366818	10.071984	9.803468637	9.947535691	10.01772012
AASS	13.71661769	13.80959139	13.73574273	11.21242091	11.25479955	11.27704838
AATBC	3.819277715	3.808368772	3.754829967	3.394492401	3.409099537	3.285005165
AATF	11.1967408	11.16324275	11.06293504	11.94798338	11.8616168	11.83659291
AATK	6.743868107	6.369236693	6.534685562	6.565580443	6.770592681	6.634048729
AATK-AS1	0.634910453	0.735477369	0.663551108	0.762228611	0.626078342	0.674932307
ABALON	5.472229633	5.513667101	5.3929408	5.450625045	5.387507305	5.471742416
ABAT	8.958870467	8.916802792	8.936037884	8.903918315	9.112642428	9.106120665
ABCA1	9.323592702	9.430061592	9.450671326	9.740860402	10.01738431	9.883409935
ABCA10	2.371286525	2.201645697	2.364428527	2.30124121	2.55406037	2.295561851
ABCA11P	7.866473856	7.633491041	7.722516302	7.649748283	7.774638715	7.650029071
ABCA12	0.137694815	0.091647774	0.122752804	0.054600494	0.084254095	0.098636811
ABCA13	1.640537973	1.880674778	1.617768827	1.618562912	1.606116634	1.824410161
ABCA17P	1.522369495	1.569267756	1.559804361	1.429722705	1.421137439	1.522300715
ABCA2	10.14363454	9.851950481	10.1679377	9.64154875	9.593020454	9.649876345
ABCA3	8.375766107	8.288590191	8.385173105	7.109004026	6.820415979	6.986764769
ABCA4	3.103059743	3.310644095	3.018540903	3.370199754	3.168670745	3.209553571
ABCA5	5.402906257	5.331992773	5.397994948	5.596409851	5.845599804	5.796731813
ABCA6	-2.209475019	-2.210287085	-2.210588746	-2.202030183	-2.211178161	-2.209477903
ABCA7	9.792970362	9.782448192	10.04356258	10.12018257	10.00699876	9.997392277
ABCA8	-0.223934056	-0.424606805	-0.42543832	-0.425329825	-0.393521328	-0.422336088
ABCA9	1.632933962	1.613345983	1.638245003	1.639339814	1.65102792	1.555910916
ABCA9-AS1	1.48037277	1.424866995	1.481237365	1.482448124	1.343621926	1.405506993
ABCB1	4.042939263	4.236028222	4.064861538	3.771381221	3.539225737	4.012949231
ABCB10	9.149346648	9.170442033	9.136704314	9.611718323	9.605864217	9.600702697
ABCB11	0.491066078	0.487045217	0.485582449	0.555370659	0.546446182	0.491051636
ABCB4	5.092218695	5.583326659	5.286996556	4.520055497	4.77905969	5.022795063
ABCB5	0.03807803	-0.004930804	-0.005938236	-0.005806941	0.023920637	-0.00216586
ABCB6	10.62951721	10.50641981	10.65348977	11.47912062	11.39977306	11.4685976
ABCB7	10.62109267	10.68836766	10.63874161	10.00908087	10.1512611	10.07729396
ABCB8	9.919508402	9.719950001	9.843620956	9.979362613	9.898069973	9.883521973
